Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Lovett Bay,"(-33.6325997, 151.2763618)",25.265081520778512,"2,713,600",Cafe,Sandwich Place,Coffee Shop,French Restaurant,Tea Room,Thai Restaurant,Beach,Bakery,Burger Joint,Donut Shop
Cremorne,"(-33.8260081, 151.2254326)",3.301625865301583,"2,692,800",Cafe,Sandwich Place,Coffee Shop,French Restaurant,Tea Room,Thai Restaurant,Beach,Bakery,Burger Joint,Donut Shop
Queenscliff,"(-33.7823916, 151.2854011)",10.260484689904267,"2,679,000",Garden Center,Beach,Business Service,Cafe,Food Court,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market
Ingleside,"(-33.6882558, 151.2525009)",18.773862588970264,"2,657,300",Cafe,Pub,Park,Bar,Pier,Sushi Restaurant,Indian Restaurant,Thai Restaurant,Pizza Place,Vietnamese Restaurant
Horsley Park,"(-33.8387723, 150.8484629)",34.10412237097396,"2,652,000",Soccer Field,Pool,Bowling Green,Non-Profit,Vietnamese Restaurant,Train Station,Pizza Place,Grocery Store,Zoo Exhibit,Flower Shop
Strathfield,"(-33.87981765, 151.07852459132124)",13.060176582820782,"2,644,700",Chinese Restaurant,Trail,Convenience Store,Hotel Bar,Flower Shop,Fast Food Restaurant,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Riverview,"(-33.823207, 151.1600134)",6.291500270536008,"2,643,000",Park,Cafe,Food & Drink Shop,Other Great Outdoors,Sporting Goods Shop,Dim Sum Restaurant,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
East Lindfield,"(-33.7681132, 151.1883362)",9.963098751765386,"2,641,600",Cafe,Italian Restaurant,Pizza Place,Park,Bar,Australian Restaurant,Grocery Store,Thai Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant
Longueville,"(-33.8291667, 151.1686111)",5.263276026839092,"2,628,000",Cafe,Australian Restaurant,Beach,Park,Italian Restaurant,Bakery,Grocery Store,Scenic Lookout,Restaurant,Bar
East Killara,"(-33.7554823, 151.1811998)",11.491354705915565,"2,623,700",Cafe,Japanese Restaurant,Pizza Place,Park,Pub,Noodle House,Thai Restaurant,Sushi Restaurant,Vegetarian / Vegan Restaurant,Mexican Restaurant
Chiswick,"(-33.8498337, 151.1378781)",7.292712742966148,"2,621,200",Soccer Field,Chinese Restaurant,Park,Cafe,Tennis Court,Gym,Deli / Bodega,Dive Bar,Financial or Legal Service,Fish Market
Putney,"(-33.826067, 151.1064224)",10.671755899814633,"2,614,500",Dessert Shop,Supermarket,Pizza Place,Fast Food Restaurant,Department Store,Pharmacy,Neighborhood,Food Truck,Food & Drink Shop,Cafe
Willoughby East,"(-33.7991667, 151.2061111)",6.246361896127612,"2,611,200",Cafe,Other Great Outdoors,Garden Center,Convenience Store,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market
Kensington,"(-33.9117191, 151.2195058)",6.318052495573813,"2,608,900",Cafe,Flea Market,Pier,Movie Theater,Pizza Place,Zoo Exhibit,Food,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Millers Point,"(-33.8599129, 151.2041274)",1.2731095843482851,"2,601,600",Park,Pizza Place,Convenience Store,Bar,Gym,Grocery Store,Buffet,Italian Restaurant,Preschool,Football Stadium
North Bondi,"(-33.882351, 151.2768611)",6.36932850406653,"2,586,900",Cafe,Pub,Asian Restaurant,Pool,Pharmacy,Coffee Shop,Park,Sandwich Place,Fried Chicken Joint,Grocery Store
Greenwich,"(-33.8300104, 151.1855621)",3.968014292119881,"2,573,100",Shopping Mall,Convenience Store,Pizza Place,Chinese Restaurant,Zoo Exhibit,Flower Shop,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Balmain East,"(-33.8571789, 151.192354)",2.2455655611959315,"2,572,700",Park,Cafe,Spa,Pub,Pool,Gym / Fitness Center,Thai Restaurant,Pizza Place,Grocery Store,Coffee Shop
North Willoughby,"(-33.7941912, 151.2004163)",6.8863705964852615,"2,540,000",Cafe,Dessert Shop,Gym,Pizza Place,Thai Restaurant,Sports Bar,Church,Fast Food Restaurant,Mediterranean Restaurant,Beach
Randwick,"(-33.94585945, 151.24275411853012)",10.387476331942313,"2,513,000",Cafe,Dessert Shop,Gym,Pizza Place,Thai Restaurant,Sports Bar,Church,Fast Food Restaurant,Mediterranean Restaurant,Beach
Pymble,"(-33.7450185, 151.1424708)",13.973272308442187,"2,511,800",Cafe,Beach,Pool,Juice Bar,Pizza Place,Park,Bus Station,Australian Restaurant,Scenic Lookout,Surf Spot
North Curl Curl,"(-33.7630002, 151.2904773)",12.275647234087202,"2,502,500",Harbor / Marina,Platform,Boat or Ferry,Seafood Restaurant,Park,Train Station,Cafe,Bookstore,Pub,Food Court
Balgowlah Heights,"(-33.807495, 151.2649923)",6.909218949548155,"2,492,000",Fast Food Restaurant,Bakery,Department Store,Supermarket,Brewery,Sandwich Place,Cafe,Electronics Store,Movie Theater,Gym / Fitness Center
Seaforth,"(-33.7910792, 151.2430284)",7.485429311181457,"2,488,100",Beach,Cafe,Pier,Pub,Trail,Grocery Store,Zoo Exhibit,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Bondi Beach,"(-33.8906977, 151.2724119)",6.530372440294881,"2,483,500",Park,Thai Restaurant,Dog Run,Playground,Campground,Flower Shop,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Curl Curl,"(-33.7698341, 151.2898175)",11.618501673563788,"2,432,800",Harbor / Marina,Boat or Ferry,Fishing Spot,Food Court,Financial or Legal Service,Fish & Chips Shop,Fish Market,Flea Market,Flower Shop,Food
Rhodes,"(-33.8290589, 151.0873578)",12.28536251519922,"2,427,800",Chinese Restaurant,Cafe,Pub,Grocery Store,Noodle House,Asian Restaurant,Cantonese Restaurant,Hookah Bar,Sandwich Place,Burger Joint
Burraneer,"(-34.0644603, 151.1377905)",24.36427451717156,"2,410,900",Cafe,Chinese Restaurant,Park,Pizza Place,Grocery Store,Convenience Store,Flower Shop,Gas Station,Hookah Bar,Fast Food Restaurant
Chatswood,"(-33.7944797, 151.1818571)",7.419316147595992,"2,409,200",Music Venue,Shopping Mall,Gym Pool,Gym,Zoo Exhibit,Flower Shop,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Burwood,"(-33.8858088, 151.10248109002006)",11.091532485273595,"2,408,000",Vietnamese Restaurant,Chinese Restaurant,Bubble Tea Shop,Cafe,Dessert Shop,Fast Food Restaurant,Sandwich Place,Bakery,Seafood Restaurant,Sushi Restaurant
Willoughby,"(-33.801595649999996, 151.18365157555556)",6.638329002786378,"2,404,400",Deli / Bodega,Convenience Store,Thai Restaurant,Fast Food Restaurant,Golf Course,Soccer Field,Gastropub,Football Stadium,Flea Market,Filipino Restaurant
Coogee,"(-33.9217004, 151.2557975)",8.26351561657937,"2,395,600",Cafe,Japanese Restaurant,Thai Restaurant,Park,Gym,Dog Run,Fruit & Vegetable Store,Pub,Italian Restaurant,Golf Course
Freshwater,"(-33.7750987, 151.2844815)",10.855967055801377,"2,381,900",Cafe,Thai Restaurant,Pub,Pizza Place,Bar,Liquor Store,Gym,Grocery Store,Bakery,Convenience Store
Roseville Chase,"(-33.7747222, 151.2002778)",9.009249177593798,"2,370,000",Malay Restaurant,Portuguese Restaurant,Football Stadium,Department Store,Cafe,Shopping Plaza,Shopping Mall,Sushi Restaurant,Grocery Store,Gym
Artarmon,"(-33.8094124, 151.1857609)",5.782247378978636,"2,339,600",Cafe,Fast Food Restaurant,Restaurant,Chinese Restaurant,Dry Cleaner,Coffee Shop,Ice Cream Shop,Other Nightlife,Business Service,Thai Restaurant
Wollstonecraft,"(-33.8332039, 151.1959273)",3.0587072522333267,"2,338,700",Vietnamese Restaurant,Cafe,Dessert Shop,Park,Thai Restaurant,Pet Store,Steakhouse,Bar,Korean Restaurant,Vegetarian / Vegan Restaurant
Paddington,"(-33.8841572, 151.2272766)",3.4051317068823166,"2,311,400",Chinese Restaurant,Vietnamese Restaurant,Cafe,Platform,Food Court,Lounge,Bar,Gym / Fitness Center,Supermarket,German Restaurant
Neutral Bay,"(-33.8342887, 151.2182049)",2.2826064533972468,"2,305,000",Cafe,Furniture / Home Store,Fast Food Restaurant,Pet Store,Coffee Shop,Gym,Thai Restaurant,Gym / Fitness Center,Paper / Office Supplies Store,Bar
Connells Point,"(-33.9869476, 151.0942725)",18.505466915007716,"2,297,600",Seafood Restaurant,Bakery,Boat or Ferry,Fish & Chips Shop,Cafe,Liquor Store,Food & Drink Shop,Financial or Legal Service,Fish Market,Fishing Spot
Fairlight,"(-33.7938789, 151.2741471)",8.614542162771311,"2,287,700",Chinese Restaurant,Fast Food Restaurant,Pizza Place,Shopping Mall,Supermarket,Soccer Field,Asian Restaurant,Gym,Medical Center,Grocery Store
Greenhills Beach,"(-34.0360657, 151.1632914)",20.696467686235696,"2,274,200",Supermarket,Cafe,Department Store,Coffee Shop,Liquor Store,Fast Food Restaurant,Pizza Place,Italian Restaurant,Fountain,Flower Shop
Banksmeadow,"(-33.9542459, 151.2157073)",11.029079857921207,"2,270,000",Italian Restaurant,Park,Train Station,Convenience Store,Ice Cream Shop,Flower Shop,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Kenthurst,"(-33.6436678, 150.9761716)",32.31345355342909,"2,253,900",Park,Convenience Store,Fish & Chips Shop,Gym / Fitness Center,Other Great Outdoors,Paper / Office Supplies Store,Sporting Goods Shop,Cafe,Dim Sum Restaurant,Food Service
Gordon,"(-33.7553899, 151.1518099)",12.547909865870345,"2,245,900",Fast Food Restaurant,Paper / Office Supplies Store,Gym Pool,Music Venue,Sandwich Place,Gym,Pet Store,Pharmacy,Shopping Mall,Pizza Place
Cottage Point,"(-33.6195161, 151.203318)",26.127250478590945,"2,226,300",Bay,Women's Store,Golf Course,Athletics & Sports,Park,Food,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Clareville,"(-33.6320071, 151.3145323)",26.331484345709683,"2,200,900",Cafe,Fast Food Restaurant,Department Store,Shopping Mall,Food Court,Movie Theater,Thai Restaurant,Clothing Store,Park,Massage Studio
Cammeray,"(-33.8222738, 151.2139868)",3.616746429544977,"2,200,800",Deli / Bodega,Cafe,Harbor / Marina,Bakery,Thai Restaurant,Eastern European Restaurant,Grocery Store,Park,Pool,Business Service
Crows Nest,"(-33.8255649, 151.2036095)",3.4554347442982167,"2,197,600",Italian Restaurant,Supermarket,Department Store,Seafood Restaurant,Park,Fried Chicken Joint,Gym,Coffee Shop,Pharmacy,Liquor Store
Edgecliff,"(-33.8797692, 151.2361116)",3.311995791822288,"2,185,500",Shopping Mall,Fast Food Restaurant,Leather Goods Store,Food,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot
Lane Cove West,"(-33.8119396, 151.150078)",7.76962914722203,"2,180,300",Gun Range,Field,Food & Drink Shop,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market,Flower Shop
Maroubra,"(-33.9453441, 151.2456824)",10.399013731269054,"2,132,300",Cafe,Park,Movie Theater,Food Truck,Multiplex,Event Space,Lake,Bowling Alley,Shopping Mall,Fried Chicken Joint
Dolans Bay,"(-34.0644424, 151.1282277)",24.6406084996198,"2,130,000",Cafe,Food Court,Japanese Restaurant,Thai Restaurant,Ice Cream Shop,Chinese Restaurant,Coffee Shop,Portuguese Restaurant,Fried Chicken Joint,Sushi Restaurant
Avalon,"(-33.6365039, 151.3290299)",26.365881107716035,"2,126,200",Golf Course,Sports Club,Cafe,National Park,Steakhouse,Garden,Discount Store,Food Service,Fishing Spot,Flea Market
Birchgrove,"(-33.8507685, 151.1830352)",3.1251057796560002,"2,122,500",Department Store,Beach,Train Station,Zoo Exhibit,Food,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot
Kyle Bay,"(-33.9897577, 151.0992166)",18.481361698962893,"2,117,200",Cafe,Park,Grocery Store,Japanese Restaurant,Bakery,Noodle House,Supermarket,Sandwich Place,Shopping Mall,Liquor Store
North Turramurra,"(-33.6911595, 151.1519372)",19.11090221666953,"2,116,200",Farmers Market,Fish & Chips Shop,Bus Line,Thai Restaurant,Train Station,Supermarket,Coffee Shop,Cafe,Lebanese Restaurant,Food
Kingsford,"(-33.9215922, 151.2272307)",7.4736618127539005,"2,115,200",Restaurant,Shipping Store,Bus Station,Gym,Zoo Exhibit,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Naremburn,"(-33.8171309, 151.2020304)",4.388007339716254,"2,104,300",Cafe,Coffee Shop,Bar,Thai Restaurant,Pub,Ice Cream Shop,Italian Restaurant,Hotel,Pool,Theater
Drummoyne,"(-33.8520678, 151.153689)",5.8164525890357135,"2,103,900",Cafe,Italian Restaurant,Supermarket,Thai Restaurant,Shopping Mall,Grocery Store,Flower Shop,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Middle Dural,"(-33.6367412, 151.0127369)",30.68203058757791,"2,097,000",Cafe,Pizza Place,Thai Restaurant,Italian Restaurant,Soccer Field,Grocery Store,Park,Liquor Store,Burger Joint,Wine Shop
Rodd Point,"(-33.8658359, 151.143583)",6.853056353874662,"2,076,600",Pier,Boat or Ferry,Beach,Harbor / Marina,Cafe,Food & Drink Shop,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market
St Ives Chase,"(-33.7030556, 151.1652778)",17.487653691158126,"2,076,200",Beach,Surf Spot,Australian Restaurant,Scenic Lookout,Zoo Exhibit,Food,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Lane Cove,"(-33.8232026, 151.16971557595508)",5.5686814361079575,"2,074,400",Cafe,Burger Joint,Shopping Plaza,Grocery Store,Pizza Place,Greek Restaurant,Football Stadium,Food Truck,Financial or Legal Service,Fish & Chips Shop
North Balgowlah,"(-33.7881457, 151.2507285)",8.04699002407394,"2,041,700",Harbor / Marina,Beach,Italian Restaurant,Real Estate Office,Park,Surf Spot,Trail,Grocery Store,Food,Dog Run
Wareemba,"(-33.8575001, 151.1319513)",7.825555116391477,"2,032,100",Cafe,Bakery,Bar,Burger Joint,Beach,Park,Breakfast Spot,Bowling Green,Fish & Chips Shop,Coffee Shop
Malabar,"(-33.9629779, 151.2480171)",12.347441740410249,"2,023,200",Boat or Ferry,Beach,Campground,Bay,Trail,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market,Flower Shop
Wahroonga,"(-33.720367, 151.1142463)",17.663401499179425,"1,986,300",Building,Sandwich Place,Paintball Field,Supermarket,Golf Course,Shopping Plaza,Flea Market,Field,Filipino Restaurant,Financial or Legal Service
St Ives,"(-33.7258869, 151.1727212)",14.863068675349481,"1,979,100",Beach,Cafe,Coffee Shop,Golf Course,Grocery Store,Hostel,Sandwich Place,Pie Shop,Trail,Beach Bar
Lane Cove North,"(-33.8059265, 151.1617117)",7.4218999378246036,"1,976,800",Grocery Store,Sandwich Place,Cafe,Beach Bar,Gymnastics Gym,Hostel,Beach,Park,Sporting Goods Shop,Indian Restaurant
Avalon Beach,"(-33.6365039, 151.3290299)",26.365881107716035,"1,972,200",Snack Place,Grocery Store,Women's Store,Pub,Liquor Store,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Haberfield,"(-33.8794325, 151.1391605)",7.655345974788562,"1,967,200",Cafe,Pub,Train Station,Boat or Ferry,Gym / Fitness Center,Thai Restaurant,Park,Distillery,Dessert Shop,Fish & Chips Shop
Balgowlah,"(-33.7944424, 151.2608261)",7.8560344912414095,"1,966,800",Cafe,Italian Restaurant,Thai Restaurant,Coffee Shop,Dry Cleaner,Sports Bar,Soccer Field,Supermarket,Golf Course,Seafood Restaurant
Cronulla,"(-34.0575259, 151.1523851)",23.251724871000853,"1,963,300",Cafe,Platform,Park,Liquor Store,Restaurant,Fried Chicken Joint,Other Nightlife,Train Station,Pizza Place,Fast Food Restaurant
North Manly,"(-33.7729035, 151.2707221)",10.382377387070036,"1,958,400",Basketball Court,Liquor Store,Sports Bar,Kebab Restaurant,Grocery Store,Construction & Landscaping,Pizza Place,Restaurant,Field,Filipino Restaurant
Bayview,"(-33.6576847, 151.2866735)",22.812683989332072,"1,952,100",Park,Harbor / Marina,Cafe,Zoo Exhibit,Food,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot
