Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Coolbinia,"(-31.91267, 115.8537)",4.486137701443575,"1,324,100",Pub,Pool,Grocery Store,Shopping Mall,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Falafel Restaurant
Applecross,"(-32.0140001, 115.8395158)",7.0789344683463025,"1,309,900",Park,Pool,Fast Food Restaurant,Grocery Store,Pub,Cuban Restaurant,Dumpling Restaurant,Flea Market,Fish Market,Fish & Chips Shop
Mariginiup,"(-31.7215569, 115.8276065)",25.819603836902928,"1,303,400",Park,Chinese Restaurant,Playground,Business Service,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Yoga Studio
Mount Claremont,"(-31.9644405, 115.7820352)",7.528961287605744,"1,277,500",Stables,Winery,Brewery,Farmers Market,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Field
Mosman Park,"(-32.0178686, 115.7637593)",11.651424681657677,"1,270,400",Coffee Shop,Liquor Store,Cafe,Supermarket,Shopping Mall,Sandwich Place,Bakery,Train Station,Discount Store,Pub
Rossmoyne,"(-32.0414229, 115.8667142)",9.85447969254545,"1,228,100",Malay Restaurant,Lingerie Store,Convenience Store,Thai Restaurant,Chinese Restaurant,Train Station,Park,Bus Station,Event Space,Electronics Store
Subiaco,"(-31.9464038, 115.8251338)",3.414188311347844,"1,178,300",Cafe,Furniture / Home Store,Yoga Studio,Coffee Shop,Seafood Restaurant,Thai Restaurant,Bar,Train Station,Grocery Store,Golf Course
Trigg,"(-31.875679, 115.755874)",13.0708986489655,"1,154,100",Park,Fish & Chips Shop,Grocery Store,Pizza Place,Seafood Restaurant,Event Service,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
South Perth,"(-31.9781791, 115.8668993)",2.8884065195729582,"1,134,700",Cafe,Pizza Place,Convenience Store,Gym,Seafood Restaurant,Supermarket,Liquor Store,Gas Station,Coffee Shop,Pet Store
Menora,"(-31.9205353, 115.8608616)",3.5681298596832725,"1,130,000",Shopping Mall,Portuguese Restaurant,Athletics & Sports,Fast Food Restaurant,Supermarket,Grocery Store,Gym / Fitness Center,Sandwich Place,Deli / Bodega,Dance Studio
Gnangara,"(-31.7752884, 115.8649195)",19.678012351246988,"1,110,000",Boat or Ferry,Yoga Studio,Dumpling Restaurant,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Bickley,"(-32.0007909, 116.1015523)",23.40084696444455,"1,103,000",Fast Food Restaurant,Portuguese Restaurant,Shopping Mall,Sandwich Place,Train Station,Liquor Store,Supermarket,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
Baskerville,"(-31.7969218, 116.0469782)",24.694612313739988,"1,100,000",Seafood Restaurant,Indian Restaurant,Gas Station,Fast Food Restaurant,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farmers Market
Wembley Downs,"(-31.9192137, 115.7798863)",8.477858290729806,"1,084,800",Park,Cafe,Fish Market,Gastropub,Indian Restaurant,Fast Food Restaurant,Pizza Place,Japanese Restaurant,Bed & Breakfast,Grocery Store
Ardross,"(-32.0255095, 115.8382524)",8.34108619178641,"1,073,200",Park,Eastern European Restaurant,Dog Run,Fast Food Restaurant,Yoga Studio,Falafel Restaurant,Electronics Store,Event Service,Event Space,Farmers Market
Bicton,"(-32.02934, 115.7834)",11.191907501827052,"1,039,600",Supermarket,Sandwich Place,Grocery Store,Chinese Restaurant,Train Station,Burger Joint,Shopping Mall,Electronics Store,Shipping Store,Malay Restaurant
Salter Point,"(-32.0244116, 115.8723459)",8.029213502509513,"1,031,100",Liquor Store,Fish & Chips Shop,Grocery Store,Fast Food Restaurant,Pharmacy,Event Service,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
Daglish,"(-31.951336, 115.8082864)",4.936824462773687,"1,024,400",Grocery Store,Lake,Yoga Studio,Dry Cleaner,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
North Coogee,"(-32.0946563, 115.7605043)",18.355944259941,"1,018,500",Restaurant,Cafe,Gym / Fitness Center,Vineyard,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
West Leederville,"(-31.9385927, 115.8321028)",3.106394672028329,"1,016,400",Fast Food Restaurant,Park,Cafe,Japanese Restaurant,Liquor Store,Gym,Beer Store,Supermarket,Bakery,Pharmacy
North Fremantle,"(-32.0327438, 115.7549789)",13.347445771105392,"1,013,800",Cafe,Electronics Store,Fast Food Restaurant,Department Store,Jewelry Store,Supermarket,Clothing Store,Shopping Mall,Lake,Tennis Court
Attadale,"(-32.0240443, 115.8035193)",9.56774690901545,"994,900",Home Service,Pharmacy,Candy Store,Yoga Studio,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farmers Market
Watermans Bay,"(-31.8490984, 115.7554654)",15.18821659072705,"973,000",Playground,Yoga Studio,Farmers Market,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Fast Food Restaurant
Burswood,"(-31.96267, 115.8954)",3.481021353551574,"947,700",Construction & Landscaping,Bar,Gas Station,Playground,Memorial Site,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant
South Fremantle,"(-32.07406, 115.7543)",16.78386585798502,"930,800",Park,Beach,Playground,Fast Food Restaurant,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farmers Market
Wembley,"(-31.9336484, 115.8148091)",4.8078549729498645,"922,000",Hotel,Cafe,Italian Restaurant,Bar,Casino,Buffet,Gas Station,Steakhouse,French Restaurant,Lounge
East Fremantle,"(-32.0367843, 115.76909899606565)",12.707389959230973,"919,600",Cafe,Pub,Fast Food Restaurant,Grocery Store,Supermarket,Liquor Store,Portuguese Restaurant,Farmers Market,Field,Farm
Sorrento,"(-31.8246324, 115.7534097)",17.444422339436393,"919,300",Pub,Grocery Store,Shopping Mall,Fast Food Restaurant,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farm
Piesse Brook,"(-31.9641167, 116.0854161)",21.30211073493599,"910,000",Cafe,Sandwich Place,Supermarket,Department Store,Yoga Studio,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant
North Beach,"(-31.8594459, 115.7559971)",14.304750174117984,"897,200",Grocery Store,Train Station,Fast Food Restaurant,Shopping Mall,Yoga Studio,Event Service,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
Fremantle,"(-32.0558714, 115.7461693)",15.732556426337846,"887,700",Cafe,Donut Shop,Burrito Place,Bakery,Shopping Mall,Coffee Shop,Video Game Store,Supermarket,Video Store,Department Store
Mount Lawley,"(-31.9281981, 115.8767714)",3.124405910881633,"862,800",Electronics Store,Fast Food Restaurant,Supermarket,Department Store,Sporting Goods Shop,Cafe,Juice Bar,Pharmacy,Shopping Mall,Chinese Restaurant
West Swan,"(-31.8456066, 115.9885884)",16.96791083982614,"862,500",Construction & Landscaping,Fast Food Restaurant,Cafe,Physical Therapist,Athletics & Sports,Home Service,Fish & Chips Shop,Field,Fish Market,Farmers Market
Pickering Brook,"(-32.03461, 116.1132164)",25.551799976338824,"861,600",Brewery,Winery,Home Service,Farmers Market,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
Churchlands,"(-31.9217089, 115.791731)",7.353745605862155,"860,800",Brewery,Ice Cream Shop,Convenience Store,Food & Drink Shop,Food,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Eastern European Restaurant
Burns Beach,"(-31.7282352, 115.7199225)",28.22356377222195,"852,700",Athletics & Sports,Lake,Medical Supply Store,Dumpling Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Yoga Studio
Leederville,"(-31.9330799, 115.8414423)",2.8247237974281005,"851,700",Park,Baseball Field,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm
Karrinyup,"(-31.8705761, 115.7787989)",11.943008929166195,"849,200",Beach,Cafe,Australian Restaurant,Surf Spot,Pizza Place,Park,Pub,Falafel Restaurant,Eastern European Restaurant,Electronics Store
Manning,"(-32.0152155, 115.8697196)",6.985583689354613,"848,600",Cafe,Grocery Store,Bar,Pool,Seafood Restaurant,Supermarket,Stationery Store,Sports Club,Spa,Malay Restaurant
North Perth,"(-31.9308627, 115.8567044)",2.44894244523056,"836,300",Train Station,Cafe,Indian Restaurant,Playground,Yoga Studio,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant
Booragoon,"(-32.0389158, 115.8303662)",9.973425347890986,"833,800",Department Store,Fast Food Restaurant,Sporting Goods Shop,Supermarket,Cafe,Flea Market,Shopping Mall,Juice Bar,Liquor Store,Coffee Shop
Carine,"(-31.8539782, 115.775931)",13.558149804640145,"822,500",Cafe,Italian Restaurant,Asian Restaurant,Brewery,Electronics Store,Gas Station,Coffee Shop,Toy / Game Store,Train Station,Grocery Store
Marmion,"(-31.8415256, 115.7564401)",15.775509145204525,"818,100",Australian Restaurant,Resort,Chinese Restaurant,Trail,Gas Station,Cafe,Shopping Mall,Golf Course,Event Space,Falafel Restaurant
Winthrop,"(-32.0524221, 115.8279248)",11.476468263539314,"816,100",Park,Liquor Store,Grocery Store,Shopping Mall,Fried Chicken Joint,Event Space,Eastern European Restaurant,Electronics Store,Event Service,Falafel Restaurant
Mount Hawthorn,"(-31.9216585, 115.8328474)",4.322487397531481,"816,000",Fast Food Restaurant,Pizza Place,Liquor Store,Supermarket,Lebanese Restaurant,Sandwich Place,Pub,Gas Station,Shopping Mall,Thai Restaurant
Gwelup,"(-31.87156, 115.7993)",10.698530797460126,"811,300",Fast Food Restaurant,Sandwich Place,Steakhouse,Grocery Store,Yoga Studio,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service
Alfred Cove,"(-32.03045, 115.8151)",9.6279218969871,"802,500",Cafe,Australian Restaurant,Coffee Shop,Beer Garden,Grocery Store,Shopping Mall,Beach,Tennis Court,Bakery,Liquor Store
Millendon,"(-31.8074624, 116.0377085)",23.25059924438715,"800,600",Cafe,Coffee Shop,Pizza Place,Park,Japanese Restaurant,Italian Restaurant,Trail,Liquor Store,College Auditorium,Dive Bar
East Perth,"(-31.954341, 115.8778894)",1.6558168692715538,"799,000",Fast Food Restaurant,Coffee Shop,Shopping Mall,Supermarket,Chinese Restaurant,Bar,Gym,Liquor Store,Multiplex,Farm
Ocean Reef,"(-31.7569941, 115.7380757)",24.60039705850565,"747,500",Cafe,Train Station,Fast Food Restaurant,Gym,Park,Yoga Studio,Event Service,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
White Gum Valley,"(-32.060121, 115.7710468)",14.603412714645328,"739,300",Cafe,Liquor Store,Shopping Mall,Grocery Store,Bakery,Italian Restaurant,Coffee Shop,Electronics Store,Event Service,Event Space
Doubleview,"(-31.8951465, 115.7786901)",10.02866348021467,"728,600",Pub,Grocery Store,Cafe,Shopping Mall,Farm,Asian Restaurant,Dry Cleaner,Event Service,Eastern European Restaurant,Electronics Store
Henley Brook,"(-31.8098939, 116.0045944)",20.897689870660933,"720,100",Stables,Grocery Store,Farm,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Dry Cleaner
Hillarys,"(-31.8097006, 115.7487831)",19.05662578859476,"712,300",Tea Room,Playground,Photography Studio,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
Bateman,"(-32.0588272, 115.8470984)",11.834508613326756,"710,400",Middle Eastern Restaurant,Park,Sandwich Place,Supermarket,Fast Food Restaurant,Grocery Store,Event Space,Eastern European Restaurant,Electronics Store,Event Service
Mindarie,"(-31.6897332, 115.7091824)",32.48833788947944,"700,200",Cafe,Pizza Place,Sports Club,Pharmacy,Park,Fast Food Restaurant,Furniture / Home Store,Italian Restaurant,Liquor Store,Grocery Store
Kallaroo,"(-31.789844, 115.7440408)",21.155236092282266,"696,900",Grocery Store,Cafe,Liquor Store,Portuguese Restaurant,Fast Food Restaurant,Asian Restaurant,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service
Perth,"(-31.9527121, 115.8604796)",0.0,"687,900",Grocery Store,Seafood Restaurant,Yoga Studio,Falafel Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farm
Mullaloo,"(-31.7778558, 115.7467741)",22.17444995244913,"685,100",Cafe,Supermarket,Pub,Restaurant,Pizza Place,Bar,Sushi Restaurant,Grocery Store,Gym / Fitness Center,Eastern European Restaurant
Darling Downs,"(-32.1946026, 115.9948579)",29.67217127338025,"682,600",Cafe,Hotel,Park,Gym / Fitness Center,Asian Restaurant,Italian Restaurant,Indian Restaurant,Restaurant,Grocery Store,Sandwich Place
Lathlain,"(-31.9678622, 115.9072491)",4.729702328267353,"681,400",Cafe,Asian Restaurant,Chinese Restaurant,Burger Joint,Pub,Ramen Restaurant,Japanese Restaurant,Italian Restaurant,Indian Restaurant,Bar
Willetton,"(-32.0537782, 115.8899401)",11.547456618086285,"674,300",Grocery Store,Food Court,Park,Yoga Studio,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farmers Market
Leeming,"(-32.0742539, 115.8688535)",13.500612746148686,"673,600",Construction & Landscaping,Department Store,Shopping Plaza,Sushi Restaurant,Furniture / Home Store,Electronics Store,Liquor Store,Park,Coffee Shop,Sporting Goods Shop
Bedford,"(-31.9101207, 115.8915315)",5.561193872207527,"669,800",Supermarket,Cafe,Fast Food Restaurant,Pub,Coffee Shop,Bookstore,Shopping Mall,Fried Chicken Joint,Liquor Store,Sandwich Place
Gooseberry Hill,"(-31.954209, 116.0488149)",17.80614892488152,"667,600",Golf Course,Pool,Thrift / Vintage Store,Pie Shop,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Donut Shop
Connolly,"(-31.747944, 115.7497916)",25.005850473813485,"667,100",Cafe,Supermarket,Coffee Shop,Post Office,Sandwich Place,Pizza Place,Burger Joint,Park,Italian Restaurant,Shopping Mall
Crawley,"(-31.9786452, 115.8172143)",4.9995641169864635,"666,600",Sports Club,Rest Area,Business Service,Lake,Park,Cupcake Shop,Dumpling Restaurant,Fish Market,Fish & Chips Shop,Field
Murdoch,"(-32.0724851, 115.830508)",13.579795407545896,"664,700",Fast Food Restaurant,Supermarket,Shopping Mall,Liquor Store,Sandwich Place,Gas Station,Cafe,Yoga Studio,Event Service,Electronics Store
Myaree,"(-32.0428897, 115.8194409)",10.725142831943602,"655,500",Cafe,Pub,Coffee Shop,Seafood Restaurant,Ice Cream Shop,Italian Restaurant,Bar,Fish & Chips Shop,Breakfast Spot,Sandwich Place
The Vines,"(-31.75683, 116.0034)",25.587649128438873,"653,900",Bar,Grocery Store,Gas Station,Yoga Studio,Dry Cleaner,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
Parkerville,"(-31.8789061, 116.1420759)",27.86224827834949,"651,800",Grocery Store,Antique Shop,Photography Studio,Asian Restaurant,Dessert Shop,Farmers Market,Electronics Store,Event Service,Event Space,Falafel Restaurant
Gidgegannup,"(-31.7932274, 116.1960296)",36.343494863071975,"651,000",Grocery Store,Indian Restaurant,Cafe,Yoga Studio,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market
Duncraig,"(-31.8314627, 115.7788108)",15.506591149478536,"649,300",Furniture / Home Store,Pool,Pharmacy,Sandwich Place,Bakery,Coffee Shop,Grocery Store,Restaurant,Jazz Club,Bus Line
Malaga,"(-31.8606948, 115.894192)",10.690040445266318,"645,300",Golf Course,Home Service,Farm,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Yoga Studio
East Victoria Park,"(-31.9824394, 115.9039512)",5.267973455660033,"638,700",Park,Motorcycle Shop,Scenic Lookout,Spa,Liquor Store,Pizza Place,Cafe,Yoga Studio,Event Service,Electronics Store
Kardinya,"(-32.0660375, 115.8178766)",13.19526596667556,"632,500",Fast Food Restaurant,Middle Eastern Restaurant,Pharmacy,Liquor Store,Park,Train Station,Grocery Store,Sandwich Place,Pizza Place,Department Store
Wungong,"(-32.1827986, 116.0141611)",29.351808184659056,"628,400",Gas Station,Gym,Pub,Pizza Place,Asian Restaurant,Bakery,Shopping Mall,Supermarket,Dumpling Restaurant,Eastern European Restaurant
West Perth,"(-31.9486588, 115.841571)",1.843323002960239,"619,000",Cafe,Park,Train Station,Italian Restaurant,Tapas Restaurant,Tea Room,Restaurant,Thai Restaurant,Tourist Information Center,Diner
North Lake,"(-32.07934, 115.8304)",14.326089405952835,"613,200",Toy / Game Store,Shop & Service,Liquor Store,Bakery,Cafe,Grocery Store,Shopping Mall,Health & Beauty Service,Construction & Landscaping,Field
Woodvale,"(-31.7864026, 115.7936906)",19.494066841946264,"612,800",Fast Food Restaurant,Cafe,Construction & Landscaping,Department Store,Sandwich Place,Coffee Shop,Supermarket,Video Game Store,Gym / Fitness Center,Pizza Place
Roleystone,"(-32.1123763, 116.0688121)",26.471149842910446,"612,300",Park,Bar,Shopping Mall,Mediterranean Restaurant,Yoga Studio,Falafel Restaurant,Electronics Store,Event Service,Event Space,Farm
Guildford,"(-31.8985059, 115.9702294)",11.993800310932446,"608,300",Breakfast Spot,Shopping Mall,Supermarket,Deli / Bodega,Farmers Market,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
Innaloo,"(-31.8937756, 115.7957972)",8.951431219778605,"599,100",Miscellaneous Shop,Flower Shop,Tree,Yoga Studio,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant,Fast Food Restaurant
Forrestdale,"(-32.1504796, 115.9378093)",23.114030991320586,"597,500",Electronics Store,Park,Pizza Place,Grocery Store,Shopping Mall,Music Store,Italian Restaurant,Farm,Farmers Market,Dry Cleaner
Kalamunda,"(-31.9721215, 116.058138)",18.808519387257988,"591,500",Candy Store,Cafe,Pharmacy,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Yoga Studio,Dumpling Restaurant
Mundaring,"(-31.9014181, 116.1653193)",29.38376843030237,"582,200",Brewery,Golf Course,Ice Cream Shop,Gastropub,Australian Restaurant,Farmers Market,Electronics Store,Event Service,Event Space,Falafel Restaurant
Carmel,"(-32.0217696, 116.0830987)",22.389120783749306,"581,600",Fast Food Restaurant,Liquor Store,Pizza Place,Grocery Store,Sandwich Place,Coffee Shop,Shopping Mall,Restaurant,Seafood Restaurant,Supermarket
Helena Valley,"(-31.9204975, 116.0385035)",17.208435235536935,"575,500",Playground,Coffee Shop,Yoga Studio,Farmers Market,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Fast Food Restaurant
Bassendean,"(-31.90592815, 115.94426426213565)",9.470377918342589,"573,700",Playground,Bakery,Garden,Supermarket,Shopping Mall,Restaurant,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store
Karawara,"(-32.0087199, 115.8802768)",6.4862456511445306,"572,800",Home Service,Electronics Store,Supermarket,Coffee Shop,Yoga Studio,Farm,Eastern European Restaurant,Event Service,Event Space,Falafel Restaurant
Munster,"(-32.1419406, 115.7896582)",22.02337675533586,"569,800",Cafe,Fast Food Restaurant,Park,Sandwich Place,Supermarket,Shopping Mall,Pharmacy,Liquor Store,Sushi Restaurant,Big Box Store
Jandakot,"(-32.1016433, 115.8694363)",16.536236439479158,"567,200",Airport Terminal,Cafe,Dumpling Restaurant,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Maylands,"(-31.9345383, 115.8985445)",4.124852794663572,"566,900",Bridal Shop,Liquor Store,Campground,Farmers Market,Event Service,Event Space,Falafel Restaurant,Farm,Fast Food Restaurant,Food & Drink Shop
Canning Vale,"(-32.0782875, 115.9117276)",14.742445244794776,"566,500",Coffee Shop,Fast Food Restaurant,Park,Cafe,Asian Restaurant,College Cafeteria,Department Store,Supermarket,Pub,Burger Joint
Dianella,"(-31.8941978, 115.8714367)",6.570610439511457,"565,600",Pizza Place,Japanese Restaurant,Fast Food Restaurant,Gas Station,Sandwich Place,Bar,Coffee Shop,Lebanese Restaurant,Motorcycle Shop,Farmers Market
Joondanna,"(-31.9100664, 115.8365834)",5.240970461615015,"562,700",Cafe,Park,Breakfast Spot,Tapas Restaurant,Pub,Farmers Market,Grocery Store,Tea Room,Electronics Store,Event Service
Northbridge,"(-31.9478509, 115.8575464)",0.6061908350209543,"559,300",Fast Food Restaurant,Coffee Shop,Cafe,Pet Store,Supermarket,Shopping Mall,Big Box Store,Sushi Restaurant,Bookstore,Boutique
Bibra Lake,"(-32.0942686, 115.8348102)",15.883015716227016,"550,600",Asian Restaurant,Tea Room,Fast Food Restaurant,Chinese Restaurant,Grocery Store,Fish & Chips Shop,Bus Station,Supermarket,Farmers Market,Soccer Field
Lesmurdie,"(-32.0023411, 116.0498493)",18.725416686958265,"550,200",Chinese Restaurant,Cafe,Supermarket,Hockey Field,Pharmacy,Bar,Park,Grocery Store,Vegetarian / Vegan Restaurant,Shopping Mall
Bayswater,"(-31.9118931, 115.90654936284105)",6.2821731328472215,"549,800",Fast Food Restaurant,Department Store,Coffee Shop,Food Court,Supermarket,Shopping Mall,Tea Room,Bagel Shop,Clothing Store,Juice Bar
Yokine,"(-31.90171, 115.8525017)",5.70549669057387,"548,500",Fast Food Restaurant,Pizza Place,Grocery Store,Sandwich Place,Steakhouse,Gas Station,Cafe,Diner,Supermarket,Gym
Welshpool,"(-31.9921285, 115.9325126)",8.090811302009532,"546,500",Seafood Restaurant,Liquor Store,Chinese Restaurant,Supermarket,Pharmacy,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service
Hazelmere,"(-31.9109095, 116.0030678)",14.25807361760417,"545,000",Racetrack,Art Gallery,Soccer Field,Rental Car Location,Burger Joint,Fast Food Restaurant,IT Services,Field,Fish & Chips Shop,Dry Cleaner
Boya,"(-31.9181116, 116.0566352)",18.94098952644053,"541,500",Food Court,Park,Grocery Store,Gym / Fitness Center,Athletics & Sports,Field,Fast Food Restaurant,Farmers Market,Farm,Fish & Chips Shop
Samson,"(-32.0696744, 115.7975399)",14.26790421523092,"538,000",Skate Park,Pharmacy,Bakery,Grocery Store,Shopping Mall,Liquor Store,Fast Food Restaurant,Home Service,Farmers Market,Farm
Osborne Park,"(-31.9033165, 115.814291)",7.0056416283452885,"537,900",Home Service,Shopping Mall,Grocery Store,Pizza Place,Field,Fast Food Restaurant,Farmers Market,Farm,Dry Cleaner,Falafel Restaurant
Edgewater,"(-31.76322, 115.7818)",22.292068293502656,"532,600",Scenic Lookout,Camera Store,Asian Restaurant,Seafood Restaurant,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Dry Cleaner
Aubin Grove,"(-32.1653561, 115.8644764)",23.582655069191713,"531,700",Park,Liquor Store,Gym / Fitness Center,Home Service,Shipping Store,Cafe,Italian Restaurant,Grocery Store,Coffee Shop,Eastern European Restaurant
Hamersley,"(-31.8502941, 115.8051957)",12.502837581350851,"526,900",Japanese Restaurant,Gas Station,Park,Thai Restaurant,Soccer Field,Business Service,Pharmacy,Yoga Studio,Electronics Store,Event Service
Glen Forrest,"(-31.9077456, 116.1027118)",23.44298404552529,"523,800",Cafe,Park,Halal Restaurant,Pharmacy,Donut Shop,Bar,Train Station,Grocery Store,Gas Station,Football Stadium
Landsdale,"(-31.809048, 115.8662569)",15.939530001208166,"521,900",Construction & Landscaping,Fish & Chips Shop,Shopping Mall,Rest Area,Field,Fast Food Restaurant,Farmers Market,Farm,Donut Shop,Falafel Restaurant
Tuart Hill,"(-31.8986812, 115.8346053)",6.471660408759343,"519,400",Cafe,Seafood Restaurant,Italian Restaurant,Pizza Place,Burger Joint,Bakery,Coffee Shop,Asian Restaurant,Tapas Restaurant,Frozen Yogurt Shop
Willagee,"(-32.05211, 115.8043)",12.233655584821724,"518,300",Restaurant,Italian Restaurant,Business Service,Golf Course,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space
Darch,"(-31.8128978, 115.8460713)",15.563093976313455,"517,200",Grocery Store,Cafe,Shopping Mall,Basketball Court,Yoga Studio,Falafel Restaurant,Electronics Store,Event Service,Event Space,Farm
Currambine,"(-31.7354623, 115.7456718)",26.427158059848338,"516,000",Park,Golf Course,Chinese Restaurant,Pet Store,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Yoga Studio
Padbury,"(-31.8086572, 115.7728199)",17.998383882393476,"515,000",Liquor Store,Print Shop,Sandwich Place,Bakery,Fast Food Restaurant,Dance Studio,Train Station,Electronics Store,Yoga Studio,Event Service
Greenwood,"(-31.8291292, 115.7982429)",14.914843559344266,"510,500",Athletics & Sports,Auto Garage,Electronics Store,Pharmacy,Deli / Bodega,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Noranda,"(-31.8762931, 115.8952097)",9.088137607619394,"510,200",Cafe,Park,Athletics & Sports,Liquor Store,Seafood Restaurant,Chinese Restaurant,Tennis Court,Malay Restaurant,Grocery Store,Pub
